Date,Tank,Weight (lb),Fat (%),Protein (%),Other Solids (%),SCC,Sequence Number,SPC,LPC,MUN,Solids (nonfat) (%),Temp,Freeze Point,Lactose,Ticket Number,Route,Fat (lb),Protein (lb),% Water,Gallons,PI,Coliform,Producer Code
"28-Day Average","-","66,409","4.75","3.54","5.78","98,840","-","1,500","25","11.3","9.33","-","-","-","-","-","3,156","2,355","-","7,722","0","0","-"
"04/26/26","1","66,480","","","","","426","","","","","38","","","260426735318266","","","","","7,730","","","01010000427"
"04/25/26","1","65,160","","","","","425","","","","","38","","","260425643308213","","","","","7,577","","","01010000427"
"04/24/26","1","66,560","","","","","424","","","","","37","","","260424552406931","","","","","7,740","","","01010000427"
"04/23/26","1","66,360","4.72","3.50","5.77","100,000","423","","","12.2","9.27","37","","","260423474192093","","3,132","2,323","","7,716","","","01010000427"
"04/22/26","1","65,780","4.67","3.49","5.73","100,000","422","","","12.0","9.22","40","","","260422366769363","","3,072","2,296","","7,649","","","01010000427"
"04/21/26","1","66,760","4.69","3.52","5.77","83,000","421","","20","12.6","9.29","37","","","260421288861839","","3,131","2,350","","7,763","","","01010000427"
"04/20/26","1","65,200","4.75","3.53","5.79","100,000","420","","","12.8","9.32","40","","","260420192486646","","3,097","2,302","","7,581","","","01010000427"
"04/19/26","1","66,340","4.76","3.53","5.79","91,000","419","1,000","","10.7","9.32","40","540","","260419122902733","","3,158","2,342","0.00","7,714","","","01010000427"
"04/18/26","1","67,000","4.65","3.52","5.79","88,000","418","","","11.1","9.31","40","","","260418945375454","","3,116","2,358","","7,791","","","01010000427"
"04/17/26","1","66,560","4.64","3.54","5.79","100,000","417","","","10.6","9.33","","","","110367","","3,088","2,356","","7,740","","","01010000427"
"04/16/26","1","66,320","4.68","3.53","5.78","99,000","416","","","10.9","9.31","38","","","260416772087768","","3,104","2,341","","7,712","","","01010000427"
"04/15/26","1","66,740","4.70","3.52","5.77","100,000","415","","","10.7","9.29","36","","","260415682038250","","3,137","2,349","","7,760","","","01010000427"
"04/14/26","1","66,520","4.67","3.53","5.78","120,000","414","","","10.8","9.31","","","","111161","","3,106","2,348","","7,735","","","01010000427"
"04/13/26","1","66,520","4.69","3.52","5.75","100,000","412","","","9.5","9.27","40","","","260413503409638","","3,120","2,342","","7,735","","","01010000427"
"04/12/26","1","66,800","4.80","3.55","5.81","110,000","411","","","10.4","9.36","38","","","260412424964939","","3,206","2,371","","7,767","","","01010000427"
"04/11/26","1","66,480","4.67","3.53","5.78","120,000","414","","","10.8","9.31","40","","","260411318289230","","3,105","2,347","","7,730","","","01010000427"
"04/10/26","1","66,360","4.72","3.55","5.77","100,000","409","","","11.5","9.32","38","","","260410232465543","","3,132","2,356","","7,716","","","01010000427"
"04/09/26","1","66,780","4.82","3.57","5.81","93,000","408","","","11.0","9.38","36","","","260409158405911","","3,219","2,384","","7,765","","","01010000427"
"04/08/26","1","66,560","4.86","3.57","5.80","98,000","407","","","11.6","9.37","36","","","260408978401797","","3,235","2,376","","7,740","","","01010000427"
"04/07/26","1","66,180","4.73","3.56","5.80","100,000","406","","","10.8","9.36","36","","","260407893739694","","3,130","2,356","","7,695","","","01010000427"
"04/06/26","1","66,680","4.83","3.56","5.81","100,000","405","","30","11.4","9.37","36","","","260406800940484","","3,221","2,374","","7,753","","","01010000427"
"04/05/26","1","66,520","4.81","3.57","5.80","110,000","404","","","11.6","9.37","36","","","260405704164974","","3,200","2,375","","7,735","","","01010000427"
"04/04/26","1","66,200","4.81","3.57","5.80","87,000","403","","","11.7","9.37","37","","","260404626221357","","3,184","2,363","","7,698","","","01010000427"
"04/03/26","1","66,520","4.84","3.58","5.82","90,000","402","","","10.9","9.40","36","","","260403537133531","","3,220","2,381","","7,735","","","01010000427"
"04/01/26","1","66,440","4.84","3.58","5.79","100,000","401","2,000","","11.3","9.37","36","","","260401377146882","","3,216","2,379","","7,726","","","01010000427"
"03/31/26","1","66,300","4.77","3.57","5.80","110,000","400","","","11.2","9.37","38","","","260331286772632","","3,163","2,367","","7,709","","","01010000427"
"03/30/26","1","66,960","4.72","3.54","5.75","86,000","399","","","12.4","9.29","36","","","260330202440396","","3,161","2,370","","7,786","","","01010000427"
"03/29/26","1","66,360","4.89","3.56","5.75","86,000","398","","","11.8","9.31","","","","110363","","3,245","2,362","","7,716","","","01010000427"
