Date,Tank,Weight (lb),Fat (%),Protein (%),Other Solids (%),SCC,Sequence Number,SPC,LPC,MUN,Solids (nonfat) (%),Temp,Freeze Point,Lactose,Ticket Number,Route,Fat (lb),Protein (lb),% Water,Gallons,PI,Coliform,Producer Code
"22-Day Average","-","54,392","4.65","3.37","5.79","109,105","-","6,500","25","11.2","9.15","-","-","-","-","-","2,531","1,832","-","6,325","140,000","0","-"
"04/25/26","1","51,240","","","","","712","","","","","38","","","260425645683936","","","","","5,958","","","01010000426"
"04/24/26","1","56,700","","","","","711","","","","","38","","","260424569482016","","","","","6,593","","","01010000426"
"04/23/26","1","50,120","4.68","3.33","5.78","120,000","710","","","12.1","9.11","40","","","260423465703478","","2,346","1,669","","5,828","","","01010000426"
"04/22/26","1","53,720","4.68","3.32","5.75","110,000","709","","","13.0","9.07","40","","","260422377191103","","2,514","1,784","","6,247","","","01010000426"
"04/20/26","1","56,740","4.69","3.36","5.81","100,000","708","","20","11.7","9.17","40","","","260420215253529","","2,661","1,906","","6,598","","","01010000426"
"04/19/26","1","53,700","4.65","3.36","5.80","99,000","707","8,000","","10.6","9.16","40","540","","260419122571547","","2,497","1,804","0.00","6,244","","","01010000426"
"04/18/26","1","53,660","4.56","3.33","5.80","110,000","706","","","10.2","9.13","38","","","260418924252846","","2,447","1,787","","6,240","","","01010000426"
"04/17/26","1","56,920","4.55","3.37","5.80","100,000","705","","","10.1","9.17","37","","","260417845806156","","2,590","1,918","","6,619","","","01010000426"
"04/15/26","1","52,660","4.63","3.36","5.78","150,000","704","","","10.7","9.14","40","","","260415670522857","","2,438","1,769","","6,123","","","01010000426"
"04/14/26","1","54,080","4.60","3.35","5.77","94,000","703","","","10.8","9.12","","","","110366","","2,488","1,812","","6,288","","","01010000426"
"04/13/26","1","56,920","4.39","3.39","5.79","86,000","702","","","10.7","9.18","40","","","260413502202442","","2,499","1,930","","6,619","140,000","","01010000426"
"04/11/26","1","54,080","4.81","3.39","5.80","130,000","700","","","10.8","9.19","38","","","260411333601516","","2,601","1,833","","6,288","","","01010000426"
"04/10/26","1","53,720","4.74","3.39","5.81","130,000","699","","","10.8","9.20","40","","","260410231809509","","2,546","1,821","","6,247","","","01010000426"
"04/09/26","1","56,680","4.69","3.38","5.80","98,000","698","","","10.8","9.18","38","","","260409164865062","","2,658","1,916","","6,591","","","01010000426"
"04/07/26","1","54,280","4.60","3.40","5.80","110,000","697","","","11.3","9.20","38","","","260407892008107","","2,497","1,846","","6,312","","","01010000426"
"04/06/26","1","53,700","4.74","3.38","5.77","100,000","696","","30","12.4","9.15","40","","","260406790972395","","2,545","1,815","","6,244","","","01010000426"
"04/05/26","1","56,280","4.70","3.37","5.80","120,000","695","","","10.7","9.17","38","","","260405716260652","","2,645","1,897","","6,544","","","01010000426"
"04/03/26","1","53,660","4.72","3.39","5.81","110,000","694","","","11.4","9.20","38","","","260403538681402","","2,533","1,819","","6,240","","","01010000426"
"04/02/26","1","54,340","","","","","693","","","","","38","","","260402454962967","","","","","6,319","","","01010000426"
"04/01/26","1","56,680","4.55","3.33","5.73","96,000","692","5,000","","11.7","9.06","38","","","260401364506303","","2,579","1,887","","6,591","","","01010000426"
"03/30/26","1","53,040","4.66","3.37","5.77","110,000","691","","","11.4","9.14","36","","","260330198842569","","2,472","1,787","","6,167","","","01010000426"
"03/29/26","1","53,700","4.73","3.38","5.77","100,000","690","","","11.5","9.15","40","","","260329112390245","","2,540","1,815","","6,244","","","01010000426"
