"Date","Time","Tank","Pickup","Pnds (Lbs)","Scc","Raw","PI","H2O","AB","Temp (F)","Fat %","Fat (lbs)","Pro %","Pro (lbs)","MUN","Cheese lbs","Violations"
"4/27/2026","16:20","2","2","16600","","","","","","","","","","","","",""
"4/27/2026","07:15","1","1","25140","","","","","","","","","","","","","12"
"4/26/2026","16:05","2","2","12980","","","","","","","","","","","","",""
"4/26/2026","09:15","1","1","28720","115","8","13","-1.11%","","36","5.30","1,522.16","3.83","1,099.98","8","3894.40",""
"4/25/2026","16:10","2","2","15600","106","6","8","-0.74%","","39","5.54","864.24","3.84","599.04","10","2175.89",""
"4/25/2026","07:25","1","1","25120","101","7","12","-1.48%","","36","5.24","1,316.29","3.82","959.58","8","3379.19",""
"4/24/2026","16:20","2","2","11940","101","8","18","-0.93%","","38","5.70","680.58","3.89","464.47","10","1703.67",""
"4/24/2026","10:00","1","1","30240","135","8","11","-1.11%","","36","5.39","1,629.94","3.83","1,158.19","9","4142.91",""
"4/23/2026","16:00","2","2","15960","102","9","9","-0.93%","","38","5.52","880.99","3.84","612.86","10","2221.14",""
"4/23/2026","07:20","1","1","24940","106","8","7","-0.93%","","36","5.35","1,334.29","3.83","955.20","9","3401.27",""
"4/22/2026","16:40","2","2","12880","100","7","12","-0.93%","","38","5.61","722.57","3.88","499.74","12","1817.92",""
"4/22/2026","09:40","1","1","28120","128","8","8","-0.93%","","36","5.33","1,498.80","3.81","1,071.37","9","3818.16",""
"4/21/2026","17:00","2","2","16140","132","5","9","-1.11%","","38","5.53","892.54","3.83","618.16","12","2246.38",""
"4/21/2026","08:00","1","1","24700","131","8","8","-1.30%","","37","5.39","1,331.33","3.83","946.01","10","3383.92",""
"4/20/2026","17:25","2","2","14760","134","11","12","-1.11%","","38","5.55","819.18","3.88","572.69","13","2069.48",""
"4/20/2026","09:20","1","1","26840","113","9","12","-0.93%","","36","5.25","1,409.10","3.82","1,025.29","10","3614.73",""
"4/19/2026","17:15","2","2","17940","130","9","10","-1.11%","","38","5.47","981.32","3.90","699.66","12","2498.11",""
"4/19/2026","07:25","1","1","25980","120","10","10","-0.93%","","36","5.19","1,348.36","3.83","995.03","9","3478.38",""
"4/18/2026","16:30","2","2","14020","109","8","8","-0.93%","","39","5.56","779.51","3.86","541.17","10","1963.88",""
"4/18/2026","09:15","1","1","28920","132","12","8","-1.11%","","36","5.40","1,561.68","3.82","1,104.74","8","3962.42",""
"4/17/2026","16:10","2","2","14549","120","13","14","-1.48%","","38","5.79","842.39","3.89","565.96","12","2096.34",""
"4/17/2026","08:20","1","1","26420","121","10","13","-1.11%","","36","5.27","1,392.33","3.86","1,019.81","9","3581.52",""
"4/16/2026","16:20","2","2","11800","116","9","12","-1.11%","","38","5.76","679.68","3.91","461.38","11","1698.11",""
"4/16/2026","09:40","1","1","30100","126","21","18","-1.48%","","37","5.53","1,664.53","3.86","1,161.86","10","4202.26",""
"4/15/2026","16:10","2","2","14650","107","8","12","-0.93%","","38","5.58","817.47","3.87","566.96","12","2058.79",""
"4/15/2026","07:50","1","1","26140","102","18","19","-1.48%","","36","5.42","1,416.79","3.85","1,006.39","10","3600.92",""
