Date,Tank,Weight (lb),Fat (%),Protein (%),Other Solids (%),SCC,Sequence Number,SPC,LPC,MUN,Solids (nonfat) (%),Temp,Freeze Point,Lactose,Ticket Number,Route,Fat (lb),Protein (lb),% Water,Gallons,PI,Coliform,Producer Code
"14-Day Average","-","42,354","4.51","3.30","5.77","237,692","-","13,000","420","11.1","9.07","-","-","-","-","-","1,907","1,397","-","4,925","0","0","-"
"04/13/26","1","42,879","","","","","602","","","","","38","","","112610","","","","","4,986","","","01001000260"
"04/11/26","1","41,691","4.46","3.29","5.78","240,000","601","","","9.3","9.07","38","","","115756","","1,859","1,372","","4,848","","","01001000260"
"04/09/26","1","42,265","4.49","3.28","5.78","240,000","600","","","10.9","9.06","38","","","115779","","1,898","1,386","","4,915","","","01001000260"
"04/07/26","1","41,333","4.40","3.29","5.78","240,000","599","","420","10.8","9.07","38","","","115760","","1,819","1,360","","4,806","","","01001000260"
"04/05/26","1","42,169","4.52","3.30","5.78","330,000","598","","","11.8","9.08","38","","","115764","","1,906","1,392","","4,903","","","01001000260"
"04/03/26","1","41,691","4.56","3.29","5.81","240,000","597","","","10.6","9.10","38","","","115810","","1,901","1,372","","4,848","","","01001000260"
"04/01/26","1","42,456","4.48","3.28","5.78","250,000","596","13,000","","11.8","9.06","38","","","115625","","1,902","1,393","","4,937","","","01001000260"
"03/30/26","1","42,833","4.50","3.31","5.75","210,000","595","","","11.4","9.06","38","","","115631","","1,927","1,418","","4,981","","","01001000260"
"03/28/26","1","42,647","4.58","3.31","5.76","250,000","594","","","11.3","9.07","38","","","115809","","1,953","1,412","","4,959","","","01001000260"
"03/26/26","1","42,926","4.47","3.28","5.75","220,000","593","","","11.4","9.03","38","","","115816","","1,919","1,408","","4,991","","","01001000260"
"03/24/26","1","41,859","4.56","3.30","5.75","230,000","592","","","11.1","9.05","38","","","115818","","1,909","1,381","","4,867","","","01001000260"
"03/22/26","1","44,209","4.53","3.31","5.75","200,000","591","","","12.0","9.06","38","","","115822","","2,003","1,463","","5,141","","","01001000260"
"03/20/26","1","42,026","4.50","3.33","5.76","210,000","590","","","11.1","9.09","37","","","80270","","1,891","1,399","","4,887","","","01001000260"
"03/18/26","1","41,978","4.54","3.34","5.76","230,000","589","","","11.4","9.10","38","","","115004","","1,906","1,402","","4,881","","","01001000260"
