Date,Tank,Weight (lb),Fat (%),Protein (%),Other Solids (%),SCC,Sequence Number,SPC,LPC,MUN,Solids (nonfat) (%),Temp,Freeze Point,Lactose,Ticket Number,Route,Fat (lb),Protein (lb),% Water,Gallons,PI,Coliform,Producer Code
"22-Day Average","-","51,814","4.70","3.38","5.78","106,211","-","5,000","40","11.2","9.16","-","-","-","-","-","2,550","1,837","-","6,312","240,000","0","-"
"04/13/26","1","56,920","4.39","3.39","5.79","86,000","702","","","10.7","9.18","40","","","260413502202442","","2,499","1,930","","6,619","","","01010000426"
"04/12/26","1","1","","","","","701","","","","","38","","","260412414190754","","","","","0","","","01010000426"
"04/11/26","1","54,000","4.81","3.39","5.80","130,000","700","","","10.8","9.19","38","","","260411333601516","","2,597","1,831","","6,279","","","01010000426"
"04/10/26","1","53,720","4.74","3.39","5.81","130,000","699","","","10.8","9.20","40","","","260410231809509","","2,546","1,821","","6,247","","","01010000426"
"04/09/26","1","56,680","4.69","3.38","5.80","98,000","698","","","10.8","9.18","38","","","260409164865062","","2,658","1,916","","6,591","","","01010000426"
"04/07/26","1","54,280","4.60","3.40","5.80","110,000","697","","","11.3","9.20","38","","","260407892008107","","2,497","1,846","","6,312","","","01010000426"
"04/06/26","1","53,700","4.74","3.38","5.77","100,000","696","","30","12.4","9.15","40","","","260406790972395","","2,545","1,815","","6,244","","","01010000426"
"04/05/26","1","56,280","4.70","3.37","5.80","120,000","695","","","10.7","9.17","38","","","260405716260652","","2,645","1,897","","6,544","","","01010000426"
"04/03/26","1","53,660","4.72","3.39","5.81","110,000","694","","","11.4","9.20","38","","","260403538681402","","2,533","1,819","","6,240","","","01010000426"
"04/02/26","1","54,340","","","","","693","","","","","38","","","260402454962967","","","","","6,319","","","01010000426"
"04/01/26","1","56,680","4.55","3.33","5.73","96,000","692","5,000","","11.7","9.06","38","","","260401364506303","","2,579","1,887","","6,591","","","01010000426"
"03/30/26","1","53,040","4.66","3.37","5.77","110,000","691","","","11.4","9.14","36","","","260330198842569","","2,472","1,787","","6,167","","","01010000426"
"03/29/26","1","53,700","4.73","3.38","5.77","100,000","690","","","11.5","9.15","40","","","260329112390245","","2,540","1,815","","6,244","","","01010000426"
"03/28/26","1","56,620","4.83","3.38","5.76","110,000","689","","","11.7","9.14","38","","","260328929427645","","2,735","1,914","","6,584","","","01010000426"
"03/26/26","1","54,300","","","","","688","","","","","38","","","260326748302973","","","","","6,314","","","01010000426"
"03/25/26","1","53,740","4.64","3.37","5.76","120,000","687","","","11.2","9.13","38","","","260325634516466","","2,494","1,811","","6,249","","","01010000426"
"03/24/26","1","56,620","4.68","3.39","5.77","89,000","686","","","10.8","9.16","37","","","260324584539900","","2,650","1,919","","6,584","","","01010000426"
"03/23/26","1","49,180","4.76","3.39","5.76","100,000","685","","","11.0","9.15","40","","","260323488266552","","2,341","1,667","","5,719","","","01010000426"
"03/21/26","1","49,100","4.76","3.36","5.75","110,000","684","","","10.5","9.11","38","","","260321288193934","","2,337","1,650","","5,709","240,000","","01010000426"
"03/20/26","1","56,660","4.86","3.40","5.76","120,000","683","","","11.4","9.16","40","","","260320217386820","","2,754","1,926","","6,588","","","01010000426"
"03/18/26","1","52,820","4.75","3.44","5.76","92,000","682","","50","11.1","9.20","40","","","260318963773863","","2,509","1,817","","6,142","","","01010000426"
"03/17/26","1","53,860","4.67","3.41","5.76","87,000","681","","","11.8","9.17","40","","","260317864178751","","2,515","1,837","","6,263","","","01010000426"
